pathotype;strain;CV1R1;CV1R2;CV1R3;CV1R4;CV2R1;CV2R2;CV2R3;CV3R4;CV3R1;CV3R2;CV3R3;CV3R4;LB_1;LB_2;LB_3;TSB_1;TSB_2;TSB_3;BHI_1;BHI_2;BHI_3;M63+_1;M63+_2;M63+_3
EAEC;5278;1,875;2,485;2,749;1,954;1,959;2,726;2,408;2,450;2,048;2,325;1,983;1,948;0,1409;0,0388;0,0735;0,2226;0,0776;0,0552;0,1329;0,1394;0,1194;0,0178;0,0138;0,0069
EAEC;5279;2,442;2,272;2,230;2,598;2,030;2,392;2,308;2,095;1,909;2,450;2,321;2,729;0,1387;0,0674;0,0724;0,1550;0,0886;0,0454;0,3442;0,3940;0,0578;0,0369;0,0199;0,0109
EAEC;5280;0,798;1,529;1,685;1,348;0,830;0,977;0,999;0,727;0,826;0,835;0,988;1,088;0,0097;0,1037;0,1902;0,2350;0,1445;0,0499;0,1913;0,3333;0,1008;0,0171;0,0042;0,0082
EAEC;5634;0,604;0,467;0,667;0,502;0,512;0,600;0,674;0,575;0,474;0,614;0,559;0,569;0,1393;0,0360;0,0069;0,1120;0,0165;0,0100;0,3024;0,0986;0,0276;0,0117;0,0186;0,0116
EAEC;5635;0,385;0,450;0,492;0,420;0,638;0,488;0,527;0,789;0,553;0,483;0,443;0,384;0,0301;0,0562;0,0144;0,0327;0,0477;0,0074;0,0509;0,0977;0,0102;0,0543;0,0265;0,0180
EAEC;5636;2,440;2,253;2,278;2,183;1,805;2,580;2,781;2,772;2,328;1,982;1,995;2,072;0,0801;0,0364;0,0489;0,1017;0,1944;0,0249;0,0784;0,2706;0,0180;0,0520;0,0135;0,0061
EAEC;5639;2,183;1,854;2,085;2,156;2,350;2,539;2,561;2,565;1,602;1,912;1,573;1,464;0,2475;0,1595;0,0880;0,2812;0,2528;0,0709;0,0566;0,0650;0,0275;0,0437;0,0319;0,0220
EAEC;5643;0,454;0,302;0,430;0,291;0,599;0,227;0,245;0,231;0,683;0,393;0,419;0,478;0,0515;0,0481;0,0105;0,0599;0,0292;0,0185;0,1135;0,0719;0,0229;0,1282;0,1050;0,1557
EAEC;5644;3,365;3,071;3,200;3,098;2,514;2,533;3,182;2,848;3,045;3,333;3,428;3,267;0,0884;0,1120;0,0501;0,0653;0,0964;0,0370;0,2006;0,3702;0,0851;0,0197;0,0447;0,0122
SAEC;5147;0,658;0,663;0,680;0,598;0,281;0,279;0,263;0,313;0,450;0,383;0,514;0,541;0,0156;0,0154;0,0067;0,0082;0,0095;0,0070;0,0121;0,0226;0,0152;0,0028;0,0052;0,0032
SAEC;5148;0,254;0,375;0,564;0,333;0,468;0,401;0,409;0,453;0,184;0,276;0,353;0,346;0,0406;0,0590;0,0127;0,0323;0,0467;0,0215;0,0441;0,1037;0,0201;0,0498;0,1142;0,0121
SAEC;5149;0,609;0,773;0,880;0,767;0,574;0,734;0,645;0,779;0,782;1,034;1,020;0,901;0,0081;0,0072;0,0054;0,0081;0,0064;0,0059;0,0186;0,0106;0,0225;0,0050;0,0135;0,0044
SAEC;5150;0,784;0,744;0,858;0,872;0,488;0,462;0,705;0,937;0,436;0,533;0,645;0,764;0,0453;0,1527;0,0544;0,0391;0,0661;0,0547;0,0432;0,0634;0,0378;0,0488;0,0166;0,0113
SAEC;5151;0,222;0,309;0,356;0,329;0,530;0,425;0,488;0,292;0,312;0,383;0,430;0,402;0,0289;0,0289;0,0124;0,0348;0,0348;0,0156;0,0398;0,0398;0,0211;0,0225;0,0225;0,0077
SAEC;5152;0,177;0,214;0,249;0,177;0,486;0,485;0,471;0,488;0,114;0,119;0,139;0,167;0,0115;0,0115;0,0049;0,0147;0,0147;0,0077;0,0243;0,0243;0,0118;0,0583;0,0583;0,0134
SAEC;5153;2,054;1,548;1,382;1,646;1,458;1,523;1,452;1,614;1,194;1,308;1,248;1,178;0,1080;0,1080;0,0468;0,0985;0,0985;0,0383;0,1221;0,1221;0,0291;0,0364;0,0364;0,0069
SAEC;5155;0,801;0,715;0,659;0,531;1,058;0,903;1,059;1,177;0,746;0,816;0,783;0,657;0,0565;0,0565;0,0375;0,0556;0,0556;0,0383;0,0449;0,0449;0,0238;0,0197;0,0197;0,0062
SAEC;5156;0,549;0,563;0,432;0,321;0,263;0,347;0,312;0,286;0,379;0,406;0,453;0,263;0,0311;0,0600;0,0124;0,0602;0,0867;0,0209;0,0399;0,0507;0,0248;0,0532;0,0117;0,0303
SAEC;5157;0,280;0,231;0,251;0,313;0,377;0,287;0,203;0,184;0,216;0,247;0,236;0,238;0,0487;0,0564;0,0167;0,0322;0,0257;0,0242;0,0545;0,0525;0,0175;0,0257;0,0359;0,0063
SAEC;5158;0,816;0,822;0,778;0,440;0,918;1,164;1,110;0,935;0,495;0,655;0,643;0,597;0,0487;0,0820;0,0397;0,0663;0,1054;0,0507;0,0667;0,0859;0,0277;0,0317;0,0301;0,0167
SAEC;5159;0,820;0,490;0,662;0,499;0,578;0,501;0,551;0,441;0,314;0,206;0,270;0,270;0,0507;0,0333;0,0174;0,0564;0,0272;0,0239;0,0422;0,0330;0,0200;0,0345;0,0866;0,0411
SAEC;5160;1,553;1,471;1,652;1,504;2,269;2,383;2,388;2,168;1,571;1,417;1,569;1,632;0,1471;0,0895;0,0623;0,1242;0,0682;0,0515;0,1127;0,0599;0,0257;0,0242;0,0613;0,0411
SAEC;5161;0,373;0,405;0,376;0,437;0,388;0,409;0,401;0,420;0,353;0,352;0,350;0,322;0,0550;0,0433;0,0433;0,0623;0,0503;0,0383;0,0971;0,0574;0,0230;0,0186;0,0715;0,0059
SAEC;5162;1,173;1,205;1,605;1,482;1,054;0,939;1,454;1,371;0,917;1,195;1,305;1,594;0,0070;0,0347;0,0417;0,0476;0,0674;0,0328;0,0702;0,0356;0,0401;0,0230;0,0416;0,0090
SAEC;5163;0,418;0,339;0,423;0,366;0,535;0,417;0,446;0,318;0,193;0,420;0,456;0,314;0,1437;0,1017;0,0349;0,0311;0,0404;0,0449;0,0816;0,0836;0,0401;0,0208;0,0147;0,0158
SAEC;5164;0,352;0,325;0,461;0,458;0,313;0,289;0,497;0,375;0,260;0,339;0,388;0,351;0,0413;0,0943;0,0163;0,0441;0,0735;0,0131;0,0670;0,0926;0,0152;0,0243;0,0490;0,0192
SAEC;5165;0,349;0,313;0,384;0,421;0,214;0,308;0,269;0,258;0,316;0,282;0,287;0,301;0,0317;0,0228;0,0114;0,0219;0,0238;0,0146;0,0327;0,0322;0,0239;0,1669;0,1052;0,0807
SAEC;5166;0,285;0,192;0,322;0,437;0,475;0,491;0,483;0,393;0,248;0,192;0,221;0,257;0,0386;0,0406;0,0119;0,0303;0,0446;0,0191;0,0526;0,0520;0,0243;0,1325;0,0460;0,0868
SAEC;5167;0,500;0,500;0,566;0,504;0,700;0,971;1,007;0,826;0,727;0,612;0,700;0,717;0,0547;0,0713;0,0659;0,0832;0,0845;0,0469;0,0762;0,0721;0,0620;0,0320;0,0488;0,0119
SAEC;5168;1,483;1,445;1,420;1,261;1,540;1,611;1,649;1,540;1,110;1,054;1,138;1,044;0,0765;0,0657;0,0601;0,0586;0,0542;0,0352;0,2616;0,0947;0,0170;0,0357;0,0657;0,0069
SAEC;5169;0,203;0,240;0,208;0,231;0,423;0,585;0,721;0,505;0,263;0,220;0,234;0,222;0,0327;0,0774;0,0124;0,0102;0,0212;0,0073;0,0257;0,0631;0,0154;0,0044;0,0079;0,0055
SAEC;5170;0,615;0,576;0,986;0,853;0,640;0,741;0,464;0,551;0,473;0,374;0,334;0,551;0,0197;0,0183;0,0115;0,0139;0,0129;0,0104;0,0215;0,0212;0,0209;0,0593;0,0329;0,0262
SAEC;5171;0,210;0,331;0,288;0,279;0,261;0,197;0,254;0,358;0,272;0,223;0,284;0,254;0,0611;0,0305;0,0094;0,0263;0,0269;0,0129;0,0400;0,1462;0,0193;0,0068;0,1001;0,0059
CAEC;5180;0,797;0,920;0,857;0,582;0,568;0,786;0,977;0,866;0,864;0,963;0,924;0,900;0,0333;0,0316;0,0108;0,0399;0,0442;0,0110;0,0526;0,0423;0,0102;0,1361;0,0120;0,0074
CAEC;5181;0,244;0,252;0,163;0,213;0,171;0,224;0,168;0,191;0,140;0,163;0,204;0,314;0,0162;0,0124;0,0043;0,0153;0,0232;0,0076;0,0173;0,0104;0,0048;0,0462;0,0190;0,0085
CAEC;5182;0,457;0,469;0,402;0,426;0,404;0,581;0,679;0,700;0,188;0,283;0,269;0,366;0,1045;0,0668;0,0178;0,0304;0,0376;0,0191;0,0552;0,0762;0,0123;0,1613;0,0249;0,0049
CAEC;5183;0,442;0,396;0,276;0,326;0,318;0,357;0,459;0,369;0,194;0,283;0,331;0,277;0,0788;0,0624;0,0167;0,0236;0,0196;0,0099;0,0964;0,0674;0,0156;0,0413;0,0074;0,0046
CAEC;5184;0,951;0,831;0,759;0,699;0,903;0,465;0,402;0,627;0,557;0,822;0,916;0,895;0,0181;0,0082;0,0046;0,0284;0,0076;0,0086;0,0328;0,0102;0,0088;0,0082;0,0079;0,0050
CAEC;5185;0,223;0,353;0,365;0,336;0,308;0,417;0,476;0,612;0,161;0,303;0,264;0,302;0,0750;0,0674;0,0086;0,0375;0,0189;0,0069;0,1130;0,0278;0,0167;0,0142;0,0163;0,0036
CAEC;5186;0,248;0,252;0,251;0,317;0,353;0,312;0,288;0,304;0,444;0,199;0,442;0,278;0,0148;0,0144;0,0051;0,0259;0,0180;0,0068;0,0504;0,0237;0,0121;0,1303;0,1168;0,0037
CAEC;5187;0,324;0,546;0,525;0,399;0,918;0,826;0,616;0,538;0,491;0,314;0,565;0,325;0,0635;0,0534;0,0087;0,0436;0,0556;0,0131;0,0535;0,0344;0,0127;0,0044;0,0092;0,0040
CAEC;5188;0,496;0,302;0,321;0,483;0,737;0,738;0,867;0,619;0,424;0,410;0,354;0,336;0,0321;0,0191;0,0050;0,0137;0,0122;0,0052;0,0958;0,0261;0,0131;0,1248;0,0844;0,0038
CAEC;5189;0,157;0,213;0,224;0,179;0,267;0,147;0,138;0,152;0,191;0,159;0,263;0,220;0,0230;0,0326;0,0046;0,0393;0,0210;0,0075;0,0308;0,0304;0,0067;0,0179;0,0144;0,0026
CAEC;5190;0,573;0,474;0,676;0,489;0,839;0,728;0,621;0,668;0,438;0,419;0,695;0,528;0,0778;0,0546;0,0135;0,1013;0,0629;0,0277;0,0978;0,0748;0,0238;0,0187;0,0187;0,0021
CAEC;5191;0,582;0,661;1,160;1,385;0,525;0,660;1,059;0,763;0,562;0,454;0,748;0,568;0,0823;0,0362;0,0150;0,0309;0,0359;0,0080;0,0641;0,0358;0,0184;0,0113;0,0211;0,0067
CAEC;5192;0,333;0,321;0,322;0,196;0,474;0,471;0,383;0,468;0,309;0,243;0,251;0,194;0,0355;0,0269;0,0080;0,0436;0,0351;0,0120;0,0782;0,0488;0,0133;0,0159;0,0198;0,0033
CAEC;5193;0,545;0,745;0,698;0,542;0,639;0,706;0,682;0,676;0,291;0,288;0,301;0,297;0,0943;0,1103;0,0282;0,0959;0,0595;0,0345;0,1107;0,0365;0,0085;0,0231;0,0195;0,0033
CAEC;5194;0,622;0,471;0,535;0,615;0,785;0,846;0,792;0,719;0,445;0,471;0,493;0,408;0,0421;0,0149;0,0035;0,0124;0,0117;0,0084;0,0242;0,0285;0,0130;0,0053;0,0137;0,0030
CAEC;5195;0,404;0,436;0,466;0,435;0,584;0,403;0,575;0,895;0,526;0,516;0,301;0,252;0,0401;0,0268;0,0066;0,0513;0,0471;0,0084;0,0429;0,0285;0,0053;0,0374;0,0241;0,0131
CAEC;5196;0,417;0,477;0,402;0,393;0,346;0,244;0,394;0,471;0,287;0,309;0,238;0,258;0,0314;0,0365;0,0071;0,0257;0,0294;0,0178;0,0451;0,0436;0,0108;0,0340;0,0176;0,0044
CAEC;5198;1,016;1,091;1,144;1,077;1,732;2,126;1,868;1,842;1,026;1,296;1,131;1,358;0,0635;0,0789;0,0179;0,0356;0,0580;0,0145;0,0732;0,1128;0,0245;0,2040;0,1360;0,0167
CAEC;5199;0,433;0,560;0,551;0,736;0,762;0,872;0,724;0,814;0,511;0,458;0,639;0,506;0,0490;0,0475;0,0079;0,0296;0,0392;0,0064;0,0310;0,0385;0,0104;0,1262;0,1159;0,0253
AFEC;5559;1,720;1,387;2,110;1,395;1,280;1,330;1,960;1,608;1,141;0,996;0,954;0,952;0,1055;0,0424;0,0218;0,1084;0,0757;0,0219;0,0427;0,0794;0,0203;0,2715;0,0280;0,0052
AFEC;5560;0,164;0,122;0,291;0,257;0,131;0,172;0,131;0,198;0,219;0,266;0,228;0,180;0,0229;0,0204;0,0081;0,0156;0,0215;0,0096;0,0253;0,0229;0,0051;0,0113;0,0046;0,0049
AFEC;5561;0,564;0,448;0,540;0,662;0,809;0,700;1,122;0,596;0,307;0,299;0,349;0,390;0,0285;0,0309;0,0065;0,0308;0,0314;0,0113;0,0307;0,0207;0,0119;0,0081;0,0061;0,0040
AFEC;5562;0,339;0,312;0,569;0,431;0,319;0,313;0,236;0,269;0,469;0,383;0,437;0,414;0,0412;0,0266;0,0097;0,0271;0,0283;0,0044;0,0370;0,0225;0,0084;0,0149;0,0196;0,0074
AFEC;5563;0,730;0,660;1,018;1,228;0,887;1,420;1,275;1,391;1,262;1,158;1,091;1,152;0,0576;0,1137;0,0337;0,0756;0,2107;0,0528;0,0716;0,0984;0,0437;0,1490;0,0255;0,0115
AFEC;5564;0,286;0,298;0,404;0,479;0,259;0,311;0,352;0,558;0,242;0,252;0,277;0,312;0,0235;0,0570;0,0126;0,0368;0,0351;0,0094;0,0356;0,0669;0,0168;0,0178;0,0429;0,0068
AFEC;5565;0,432;0,397;0,522;0,494;0,535;0,329;0,409;0,323;0,186;0,206;0,261;0,288;0,0202;0,0565;0,0083;0,0222;0,0536;0,0108;0,0319;0,0775;0,0106;0,0204;0,0157;0,0076
AFEC;5566;0,522;0,375;0,408;0,360;0,605;0,682;0,532;0,565;0,363;0,551;0,401;0,376;0,0354;0,0503;0,0413;0,0337;0,0368;0,0516;0,0320;0,0399;0,0168;0,0172;0,2406;0,0511
AFEC;5567;0,855;0,725;0,744;0,637;0,791;0,645;0,820;0,696;0,523;0,616;0,483;0,698;0,0163;0,0299;0,0078;0,0121;0,0259;0,0321;0,0485;0,0904;0,0166;0,0098;0,0091;0,0084
AFEC;5568;0,203;0,210;0,221;0,223;0,172;0,145;0,197;0,252;0,120;0,161;0,118;0,136;0,0182;0,0108;0,0082;0,0105;0,0090;0,0066;0,0316;0,0132;0,0061;0,0160;0,0361;0,0112
AFEC;5569;0,498;0,386;0,441;0,445;0,619;0,458;0,378;0,440;0,572;0,545;0,480;0,570;0,0662;0,0433;0,0406;0,0406;0,0692;0,0388;0,0735;0,0813;0,0505;0,0295;0,0295;0,0346
AFEC;5570;0,530;0,675;0,611;0,613;0,580;0,358;0,565;0,598;0,325;0,300;0,419;0,546;0,0304;0,0724;0,0238;0,0576;0,1851;0,0463;0,0556;0,0780;0,0540;0,0629;0,1527;0,0500
AFEC;5571;0,739;0,858;0,463;0,460;0,670;0,842;0,501;0,491;0,745;1,012;0,798;0,906;0,0180;0,0256;0,0109;0,0154;0,0223;0,0112;0,0336;0,0409;0,0152;0,0093;0,0063;0,0036
AFEC;5572;0,381;0,386;0,271;0,281;0,242;0,276;0,456;0,470;0,293;0,321;0,306;0,325;0,0754;0,0435;0,0375;0,0470;0,0732;0,0257;0,0703;0,0966;0,0399;0,0173;0,0314;0,0071
AFEC;5573;0,403;0,484;0,400;0,378;0,444;0,406;0,489;0,527;0,422;0,431;0,472;0,374;0,0517;0,0431;0,0167;0,0521;0,0840;0,0305;0,0613;0,0454;0,0250;0,1214;0,0618;0,0131
AFEC;5574;0,341;0,319;0,292;0,298;0,393;0,465;0,587;0,566;0,431;0,416;0,427;0,436;0,0247;0,0389;0,0195;0,0173;0,0278;0,0158;0,0452;0,0755;0,0244;0,0106;0,0062;0,0068
AFEC;5575;0,590;0,715;0,647;0,990;0,327;0,478;0,545;0,315;0,701;0,843;0,991;0,930;0,0094;0,0164;0,0078;0,0091;0,0104;0,0104;0,0387;0,0511;0,0159;0,0103;0,0057;0,0052
AFEC;5576;0,286;0,548;0,360;0,996;0,419;0,594;0,314;0,379;0,347;0,479;0,343;0,598;0,0157;0,0571;0,0229;0,0213;0,0753;0,0326;0,0289;0,0971;0,1407;0,0249;0,0166;0,0131
AFEC;5577;0,450;0,486;0,716;0,542;0,577;0,602;0,547;0,361;0,495;0,463;0,631;0,667;0,0468;0,0525;0,0245;0,0409;0,0282;0,0248;0,0586;0,0372;0,0313;0,0209;0,0410;0,0388
AFEC;5578;0,261;0,242;0,316;0,317;0,534;0,424;0,259;0,249;0,211;0,186;0,179;0,213;0,0360;0,0211;0,0133;0,0272;0,0169;0,0097;0,0284;0,0220;0,0093;0,0323;0,0339;0,0131
AFEC;5579;0,918;1,164;1,156;1,053;1,004;1,026;0,867;0,707;0,939;0,801;0,562;0,914;0,1178;0,0595;0,0403;0,0937;0,1067;0,0463;0,1218;0,0935;0,0403;0,0625;0,0568;0,0348
AFEC;5580;0,402;0,448;0,465;0,489;0,584;0,441;0,383;0,389;0,353;0,219;0,284;0,294;0,0280;0,1422;0,0075;0,0232;0,1118;0,0191;0,0648;0,1778;0,0215;0,0193;0,0127;0,0185
AFEC;5581;0,281;0,373;0,465;0,468;0,249;0,865;0,299;0,269;0,253;0,257;0,241;0,308;0,0175;0,0477;0,0099;0,0271;0,0475;0,0144;0,0280;0,1138;0,0224;0,0307;0,0406;0,0066
AFEC;5582;0,805;0,865;0,766;0,991;0,787;0,777;0,874;0,866;0,898;0,637;0,722;1,261;0,0372;0,0515;0,0178;0,0232;0,0231;0,0113;0,0399;0,0241;0,0175;0,0485;0,0487;0,0091
