Strain-No,Pathotype,Ania,Dominika,Joasia,Jule,Ania,Dominika,Joasia,Jule
1917 Nissle,EcN,rdar,rdar,,rdar,+,+,,+
5644,EAEC,bdar/saw,bdar/saw,,bdar,-,-,,-
5270,EAEC,saw,saw,,saw,-,-,,-
5271,EAEC,rdar,rdar,,rdar,+,+,,+
5272,EAEC,bdar,bdar,,bdar,-,-,,-
5212,EPEC,bdar,bdar,,bdar,-,-,,-
5275,EAEC,rdar,rdar,,rdar,+,+,,+
5276,EAEC,saw,saw,,saw,-,?,,-
M1655,,saw,saw,,,?,?,,
