Strain-No,Pathotype,CR 37°C JULE,CR 37°C KOZA,CF 37°C JULE,CF 37°C KOZA
1917 Nissle,EcN,,rdar,,+
5644,EAEC,b,bdar,-,-
5270,EAEC,s,quality,-,-
5271,EAEC,r,rdar,+,-
5272,EAEC,b,bdar,-,-
5212,EPEC,b,bdar,-,-
5275,EAEC,r,,+,quality
5276,EAEC,s,,-,-
